Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-assemblies\pom.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,84,0,0,0,4,0,0,0,66,0,0,,,14,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.212121,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-assemblies\src\main\resources\assemblies\hadoop-dist.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,161,0,0,0,2,0,0,0,145,0,0,,,14,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.0965517,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-assemblies\src\main\resources\assemblies\hadoop-hdfs-nfs-dist.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,50,0,0,0,5,0,0,0,32,0,0,,,13,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.40625,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-assemblies\src\main\resources\assemblies\hadoop-httpfs-dist.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,54,0,0,0,2,0,0,0,39,0,0,,,13,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.333333,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-assemblies\src\main\resources\assemblies\hadoop-kms-dist.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,54,0,0,0,2,0,0,0,39,0,0,,,13,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.333333,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-assemblies\src\main\resources\assemblies\hadoop-mapreduce-dist.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,209,0,0,0,2,0,0,0,191,0,0,,,16,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.0837696,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-assemblies\src\main\resources\assemblies\hadoop-nfs-dist.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,50,0,0,0,5,0,0,0,32,0,0,,,13,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.40625,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-assemblies\src\main\resources\assemblies\hadoop-sls.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,47,0,0,0,4,0,0,0,28,0,0,,,15,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.535714,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-assemblies\src\main\resources\assemblies\hadoop-src.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,56,0,0,0,2,0,0,0,39,0,0,,,15,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.384615,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-assemblies\src\main\resources\assemblies\hadoop-tools.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,197,0,0,0,2,0,0,0,178,0,0,,,17,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.0955056,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-assemblies\src\main\resources\assemblies\hadoop-yarn-dist.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,244,0,0,0,2,0,0,0,226,0,0,,,16,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.0707965,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-build-tools\pom.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,116,0,0,0,3,0,0,0,100,0,0,,,13,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.13,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-build-tools\src\main\resources\checkstyle\checkstyle.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,197,0,0,0,45,0,0,0,74,0,0,,,79,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,1.06757,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-build-tools\src\main\resources\checkstyle\suppressions.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,21,0,0,0,3,0,0,0,7,0,0,,,11,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,1.57143,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-client-modules\hadoop-client-api\pom.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,216,0,0,0,6,0,0,0,184,0,0,,,26,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.141304,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-client-modules\hadoop-client-check-invariants\pom.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,124,0,0,0,10,0,0,0,77,0,0,,,37,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.480519,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-client-modules\hadoop-client-check-test-invariants\pom.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,132,0,0,0,10,0,0,0,83,0,0,,,39,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.46988,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-client-modules\hadoop-client-integration-tests\pom.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,130,0,0,0,7,0,0,0,100,0,0,,,23,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,0.23,0,0,0,0,0
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-client-modules\hadoop-client-integration-tests\src\test\java\org\apache\hadoop\example\ITUseMiniCluster.java,,,,,,,1,1,1,1,1,8,0,8,0,,,,,1,0,4,5,,,,5,5,1,,,,5,,,0,,0,0,5,,113,,,,18,,,,72,,,38,31,23,,,,,,,,,35,46,32,,,,18,,,,,,,,,2,2,2,2,1,,,1,,,,0.319444,6,6,6,6,5
File,C:\Users\urvis\Desktop\hadoop-YARN-5085\hadoop-client-modules\hadoop-client-integration-tests\src\test\resources\hdfs-site.xml,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,34,0,0,0,5,0,0,0,12,0,0,,,17,0,0,0,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,1.41667,0,0,0,0,0
